docked_cbu_geom_id,docked_cbu_energy,cbu_nickname,bare_ion_formula,bare_ion_radius,ion_valence,empty_cbu_geom_id,empty_cbu_energy,solvated_cbu_energy,bare_ion_energy,solvated_ion_energy,solvated_dock_geom_id,solvated_dock_energy,rel_vac_docked_energy,rel_sol_docked_energy,ion_binding_energy,solvated_ion_binding_energy,bare_solvated_binding_diff,sol_sol_ion_binding_energy
579373552,-1276.027025141284,K222,Li+,90,monovalent,574985383,-1268.532139070572,-1268.532139070572,-7.289726530165,-7.433223057149,579373552.0,-1276.027025141284,0.0,0.0,-538.6464147381292,-161.89625444233113,376.7501602957981,-161.89625444233113
574993193,-1430.787561962318,K222,Na+,116,monovalent,574985383,-1268.532139070572,-1268.532139070572,-162.080818395016,-162.195871800502,574993193.0,-1430.787561962318,0.0,0.0,-458.42414108577026,-156.35140197157295,302.0727391141973,-156.35140197157295
575079303,-1868.440638557535,K222,K+,152,monovalent,574985383,-1268.532139070572,-1268.532139070572,-599.75660308502,-599.851578329495,575079303.0,-1868.440638557535,0.0,0.0,-398.8040336811271,-149.44651031668113,249.357523364446,-149.44651031668113
575079417,-1292.619635400694,K222,Rb+,166,monovalent,574985383,-1268.532139070572,-1268.532139070572,-23.948670423916,-24.034869967208,575079417.0,-1292.619635400694,0.0,0.0,-364.48744450935544,-138.1705263562997,226.31691815305575,-138.1705263562997
575074365,-1288.669702847668,K222,Cs+,167,monovalent,574985383,-1268.532139070572,-1268.532139070572,-20.008501340953,-20.084647715297,575074365.0,-1288.669702847668,0.0,0.0,-338.85345190632125,-138.93113083687714,199.9223210694441,-138.93113083687714
575112566,-1299.209251645673,K222,Sr+2,132,divalent,574985383,-1268.532139070572,-1268.532139070572,-30.100213482909,-30.519775878949,575112566.0,-1299.209251645673,0.0,0.0,-1514.648681930159,-413.08752721465066,1101.5611547155083,-413.08752721465066
575117494,-1293.966259801633,K222,Ba+2,149,divalent,574985383,-1268.532139070572,-1268.532139070572,-24.918320848578,-25.308147011253,575117494.0,-1293.966259801633,0.0,0.0,-1354.2326946192466,-330.74402655080183,1023.4886680684447,-330.74402655080183
463251294,-5713.953290215945,rth,Cs+,167,monovalent,448063239,-5693.891719380822,-5694.068065554216,-20.008501340953,-20.084647715297,573485849.0,-5714.05533417247,0.3805883431888944,1.1078915734437573,-139.33396755814752,60.5883535112966,199.92232106944414,255.6688387636884
463249449,-5717.996581444469,d6r,Rb+,166,monovalent,448062702,-5693.888313432313,-5694.06626506826,-23.948670423916,-24.034869967208,573485860.0,-5718.090746584431,0.0,0.0,-419.02349984193194,-192.70658168887618,226.31691815305575,27.27488027437888
463251244,-15240.447780215989,pau,Ba+2,149,divalent,448069512,-15214.952746301657,-15215.464839355382,-24.918320848578,-25.308147011253,573211186.0,-15240.8121533119,48.042129699253245,0.48110166480848565,-1514.1602694809324,-490.67160141248763,1023.4886680684447,-102.83282262562598
463869200,-11413.20059133075,ufi,Ba+2,149,divalent,449300030,-11387.689492979356,-11388.128988216737,-24.918320848578,-25.308147011253,573804230.0,-11413.46749162959,39.00144055394183,15.536081423174021,-1556.33745219689,-532.848784128445,1023.4886680684449,-79.70073847272094
462276163,-15245.618539951645,pau,Sr+2,132,divalent,448069895,-15214.944847781218,-15215.464230582504,-30.100213482909,-30.519775878949,573210687.0,-15246.013680263126,36.096480387259916,2.0599373048124465,-1505.6684087739236,-404.1072540584153,1101.5611547155083,-77.90857222793727
481215732,-11413.215390237072,ufi,Ba+2,149,divalent,449301770,-11387.679574349657,-11388.128114634339,-24.918320848578,-25.308147011253,573793794.0,-11413.470262606215,0.1469090443329751,8.260881738806656,-1621.2333479657732,-597.7446798973284,1023.4886680684448,-89.26952891674743
462277066,-15245.59614583738,pau,Sr+2,132,divalent,448070307,-15214.945170908944,-15215.464286356615,-30.100213482909,-30.519775878949,,,94.89223186857308,,-1446.024285383357,-344.4631306678488,1101.561154715508,
462353059,-15240.417189057975,pau,Ba+2,149,divalent,448072756,-15214.967500949728,-15215.465164785859,-24.918320848578,-25.308147011253,573209468.0,-15240.81093016071,128.35922118437378,3.6924853589435886,-1395.1048465340116,-371.6161784655667,1023.4886680684449,-98.76702114783347
462352975,-11413.177908946629,ufi,Ba+2,149,divalent,449300643,-11387.658446329297,-11388.127109671825,-24.918320848578,-25.308147011253,573239558.0,-11413.47249438935,98.554044598382,2.401334670568793,-1578.2978340932054,-554.8091660247605,1023.4886680684449,-97.76760526738741
462303483,-15245.601369864346,pau,Sr+2,132,divalent,448070492,-15214.950574749026,-15215.464298924817,-30.100213482909,-30.519775878949,573569466.0,-15246.012944150469,81.1765480267611,3.992601233646132,-1445.5521860110227,-343.9910312955145,1101.561154715508,-75.79647554220614
462145614,-15245.616000476311,pau,Sr+2,132,divalent,448069751,-15214.966505822511,-15215.465132764823,-30.100213482909,-30.519775878949,573211342.0,-15246.01377995206,42.763873384134186,1.7982039888811512,-1442.1378240318784,-340.57666931637016,1101.561154715508,-75.8016256851708
461437645,-7769.793372202551,d8r,Na+,116,monovalent,448063700,-7607.517561306748,-7607.726728574284,-162.080818395016,-162.195871800502,573209947.0,-7769.937134461013,0.0,0.0,-511.9528498154645,-209.88011070126723,302.07273911419725,-38.15924629566125
