docked_cbu_geom_id,docked_cbu_energy,cbu_nickname,bare_ion_formula,bare_ion_radius,ion_valence,empty_cbu_geom_id,empty_cbu_energy,solvated_cbu_energy,bare_ion_energy,solvated_ion_energy,solvated_dock_geom_id,solvated_dock_energy,rel_vac_docked_energy,rel_sol_docked_energy,ion_binding_energy,solvated_ion_binding_energy,bare_solvated_binding_diff,sol_sol_ion_binding_energy
579373552,-1276.027025141284,K222,Li+,90,monovalent,574985383,-1268.532139070572,-1268.532139070572,-7.289726530165,-7.433223057149,579373552.0,-1276.027025141284,0.0,0.0,-538.6464147381292,-161.89625444233113,376.7501602957981,-161.89625444233113
574993193,-1430.787561962318,K222,Na+,116,monovalent,574985383,-1268.532139070572,-1268.532139070572,-162.080818395016,-162.195871800502,574993193.0,-1430.787561962318,0.0,0.0,-458.4241410857703,-156.35140197157295,302.0727391141973,-156.35140197157295
575079303,-1868.440638557535,K222,K+,152,monovalent,574985383,-1268.532139070572,-1268.532139070572,-599.75660308502,-599.851578329495,575079303.0,-1868.440638557535,0.0,0.0,-398.8040336811271,-149.44651031668113,249.357523364446,-149.44651031668113
575079417,-1292.619635400694,K222,Rb+,166,monovalent,574985383,-1268.532139070572,-1268.532139070572,-23.948670423916,-24.034869967208,575079417.0,-1292.619635400694,0.0,0.0,-364.4874445093554,-138.1705263562997,226.31691815305572,-138.1705263562997
575074365,-1288.669702847668,K222,Cs+,167,monovalent,574985383,-1268.532139070572,-1268.532139070572,-20.008501340953,-20.084647715297,575074365.0,-1288.669702847668,0.0,0.0,-338.85345190632125,-138.93113083687714,199.9223210694441,-138.93113083687714
575112566,-1299.209251645673,K222,Sr+2,132,divalent,574985383,-1268.532139070572,-1268.532139070572,-30.100213482909,-30.519775878949,575112566.0,-1299.209251645673,0.0,0.0,-1514.648681930159,-413.08752721465066,1101.5611547155083,-413.08752721465066
575117494,-1293.966259801633,K222,Ba+2,149,divalent,574985383,-1268.532139070572,-1268.532139070572,-24.918320848578,-25.308147011253,575117494.0,-1293.966259801633,0.0,0.0,-1354.2326946192466,-330.74402655080183,1023.4886680684448,-330.74402655080183
