docked_cbu_geom_id,docked_cbu_energy,cbu_nickname,bare_ion_formula,bare_ion_radius,ion_valence,empty_cbu_geom_id,empty_cbu_energy,solvated_cbu_energy,bare_ion_energy,solvated_ion_energy,solvated_dock_geom_id,solvated_dock_energy,rel_vac_docked_energy,rel_sol_docked_energy,ion_binding_energy,solvated_ion_binding_energy,bare_solvated_binding_diff,sol_sol_ion_binding_energy
579373552,-1276.027025141284,K222,Li+,90,monovalent,574985383,-1268.532139070572,-1268.532139070572,-7.289726530165,-7.433223057149,579373552,-1276.027025141284,0.0,0.0,-538.6464147381292,-161.89625444233113,376.7501602957981,-161.89625444233113
574993193,-1430.787561962318,K222,Na+,116,monovalent,574985383,-1268.532139070572,-1268.532139070572,-162.080818395016,-162.195871800502,574993193,-1430.787561962318,0.0,0.0,-458.4241410857703,-156.35140197157295,302.0727391141973,-156.35140197157295
489300070,-5856.165282356827,rth,Na+,116,monovalent,448063209,-5693.891038093509,-5694.068139942498,-162.080818395016,-162.195871800502,573583693,-5856.259089443433,0.2575798400311654,0.0,-507.8396559120759,-205.76691679787865,302.07273911419725,12.923498497765816
489300709,-5856.182460399955,d6r,Na+,116,monovalent,448062702,-5693.888313432313,-5694.06626506826,-162.080818395016,-162.195871800502,574330118,-5856.294521312278,0.0,0.0,-560.0942100942623,-258.02147098006503,302.07273911419725,-85.02536292988486
461442745,-15424.31597214816,pau,Na+,116,monovalent,448067954,-15262.047406170735,-15262.391908315229,-162.080818395016,-162.195871800502,573211401,-15424.607104515644,0.0,0.0,-492.931315160025,-190.8585760458277,302.0727391141973,-50.73621584240247
462149437,-11597.054282049452,wbc,Na+,116,monovalent,449299292,-11434.779388178818,-11435.057487729544,-162.080818395016,-162.195871800502,573569454,-11597.279848495777,0.0,0.0,-509.5452000491277,-207.47246093493044,302.0727391141973,-69.54678482365135
461437645,-7769.793372202551,d8r,Na+,116,monovalent,448063700,-7607.517561306748,-7607.726728574284,-162.080818395016,-162.195871800502,573209947,-7769.937134461013,0.0,0.0,-511.9528498154645,-209.88011070126723,302.07273911419725,-38.15924629566125
462149255,-11597.074728289872,sod,Na+,116,monovalent,448064600,-11434.79102406183,-11435.074564493489,-162.080818395016,-162.195871800502,573569444,-11597.299641655329,0.0,0.0,-532.6767951883904,-230.60405607419307,302.07273911419736,-76.67868203421659
462303491,-3942.446620657897,d4r,Na+,116,monovalent,448062303,-3780.251431666245,-3780.398138893088,-162.080818395016,-162.195871800502,573563668,-3942.510452321414,0.0,0.0,-300.28002434135965,1.7927147728376591,302.0727391141973,219.3825228593527
575079303,-1868.440638557535,K222,K+,152,monovalent,574985383,-1268.532139070572,-1268.532139070572,-599.75660308502,-599.851578329495,575079303,-1868.440638557535,0.0,0.0,-398.8040336811271,-149.44651031668113,249.357523364446,-149.44651031668113
463251312,-6293.800842723561,rth,K+,152,monovalent,448063209,-5693.891038093509,-5694.068139942498,-599.75660308502,-599.851578329495,573519184,-6293.895878019963,2.2831690883130427,0.0,-402.23068712049377,-152.87316375604777,249.357523364446,62.59258647467702
463249899,-6293.820317963568,d6r,K+,152,monovalent,448062702,-5693.888313432313,-5694.06626506826,-599.75660308502,-599.851578329495,573210670,-6293.914638586472,0.0,0.0,-460.516532170916,-211.15900880647,249.357523364446,8.414232663019234
462277232,-15862.000410376084,pau,K+,152,monovalent,448067954,-15262.047406170735,-15262.391908315229,-599.75660308502,-599.851578329495,573210685,-15862.271425839928,0.0,0.0,-515.6511807025955,-266.2936573381495,249.357523364446,-73.35436260220575
462147953,-12034.72329508816,wbc,K+,152,monovalent,449299292,-11434.779388178818,-11435.057487729544,-599.75660308502,-599.851578329495,573222924,-12034.928169834817,4.336545524960679,0.0,-491.7662282144098,-242.40870484996373,249.35752336444605,-50.15696712061336
462144633,-8207.45881064447,d8r,K+,152,monovalent,448063700,-7607.517561306748,-7607.726728574284,-599.75660308502,-599.851578329495,573467304,-8207.587597549315,0.0,0.0,-484.7887733989732,-235.4312500345272,249.357523364446,-24.392591712294912
462276522,-12034.742903795772,sod,K+,152,monovalent,448064600,-11434.79102406183,-11435.074564493489,-599.75660308502,-599.851578329495,573586771,-12034.946452195152,0.0,0.0,-512.698880801245,-263.34135743679894,249.357523364446,-53.32226069034037
462353306,-4380.028762932859,d4r,K+,152,monovalent,448062303,-3780.251431666245,-3780.398138893088,-599.75660308502,-599.851578329495,573501003,-4380.093214438679,0.0,0.0,-54.42184491977482,194.9356784446712,249.357523364446,410.89809044077714
575079417,-1292.619635400694,K222,Rb+,166,monovalent,574985383,-1268.532139070572,-1268.532139070572,-23.948670423916,-24.034869967208,575079417,-1292.619635400694,0.0,0.0,-364.4874445093554,-138.1705263562997,226.31691815305572,-138.1705263562997
463251419,-5717.955090577408,rth,Rb+,166,monovalent,448063239,-5693.891719380822,-5694.068065554216,-23.948670423916,-24.034869967208,573496220,-5718.048955994468,0.0,0.0,-301.14690158432074,-74.82998343126503,226.31691815305567,141.72325881982243
463249449,-5717.996581444469,d6r,Rb+,166,monovalent,448062702,-5693.888313432313,-5694.06626506826,-23.948670423916,-24.034869967208,573485860,-5718.090746584431,0.0,0.0,-419.023499841932,-192.70658168887616,226.31691815305572,27.27488027437888
463254524,-15286.19431472148,pau,Rb+,166,monovalent,448067954,-15262.047406170735,-15262.391908315229,-23.948670423916,-24.034869967208,573209474,-15286.453792611306,0.0,0.0,-520.4742416327543,-294.15732347969856,226.31691815305575,-70.9261258546489
461444049,-11458.917774230287,wbc,Rb+,166,monovalent,449299292,-11434.779388178818,-11435.057487729544,-23.948670423916,-24.034869967208,573223214,-11459.112045114833,0.0,0.0,-498.0984180831151,-271.78149993005934,226.31691815305567,-51.68932010840829
462148225,-7631.654011846803,d8r,Rb+,166,monovalent,448063700,-7607.517561306748,-7607.726728574284,-23.948670423916,-24.034869967208,573210249,-7631.778605130583,0.0,0.0,-493.0167324794779,-266.69981432642214,226.31691815305575,-44.65080306039199
461439314,-11458.937629016758,sod,Rb+,166,monovalent,448064600,-11434.79102406183,-11435.074564493489,-23.948670423916,-24.034869967208,573210594,-11459.132457220356,0.0,0.0,-519.6771507615116,-293.360232608456,226.31691815305567,-60.44626008943314
462363537,-3804.122388340606,d4r,Rb+,166,monovalent,448062303,-3780.251431666245,-3780.398138893088,-23.948670423916,-24.034869967208,573222480,-3804.186640816181,0.0,0.0,204.03746499948284,430.35438315253856,226.31691815305567,646.839349097518
575074365,-1288.669702847668,K222,Cs+,167,monovalent,574985383,-1268.532139070572,-1268.532139070572,-20.008501340953,-20.084647715297,575074365,-1288.669702847668,0.0,0.0,-338.85345190632125,-138.93113083687714,199.9223210694441,-138.93113083687714
462363490,-5713.953435174359,rth,Cs+,167,monovalent,448063209,-5693.891038093509,-5694.068139942498,-20.008501340953,-20.084647715297,573567464,-5714.055756145995,0.0,0.0,-141.503275876682,58.41904519276213,199.9223210694441,254.7562536394434
462353661,-5714.028251279637,d6r,Cs+,167,monovalent,448062702,-5693.888313432313,-5694.06626506826,-20.008501340953,-20.084647715297,573223168,-5714.130008568294,0.0,0.0,-345.08657376273675,-145.16425269329264,199.9223210694441,54.88402135270725
461443642,-15282.244518558393,pau,Cs+,167,monovalent,448067954,-15262.047406170735,-15262.391908315229,-20.008501340953,-20.084647715297,573211331,-15282.506902751413,0.0,0.0,-495.1983408398317,-295.2760197703875,199.9223210694441,-79.67532175851616
462148746,-11454.980061323884,wbc,Cs+,167,monovalent,449299292,-11434.779388178818,-11435.057487729544,-20.008501340953,-20.084647715297,573503808,-11455.174658886155,0.0,0.0,-504.5471101319751,-304.6247890625309,199.9223210694441,-85.3903016751779
481214787,-7627.726004072442,d8r,Cs+,167,monovalent,448063700,-7607.517561306748,-7607.726728574284,-20.008501340953,-20.084647715297,573804563,-7627.850016997275,0.0,0.0,-524.9462506473535,-325.02392957790937,199.9223210694441,-101.45118577928964
461441960,-11454.99963621191,sod,Cs+,167,monovalent,448064600,-11434.79102406183,-11435.074564493489,-20.008501340953,-20.084647715297,573632973,-11455.19968723649,0.0,0.0,-525.3909693843555,-325.4686483149113,199.9223210694441,-106.26719333465998
462353562,-3800.035677296402,d4r,Cs+,167,monovalent,448062303,-3780.251431666245,-3780.398138893088,-20.008501340953,-20.084647715297,573466833,-3800.107674927909,0.0,0.0,588.7834135463694,788.7057346158135,199.9223210694441,984.8557921115132
575112566,-1299.209251645673,K222,Sr+2,132,divalent,574985383,-1268.532139070572,-1268.532139070572,-30.100213482909,-30.519775878949,575112566,-1299.209251645673,0.0,0.0,-1514.648681930159,-413.08752721465066,1101.5611547155083,-413.08752721465066
463252845,-5677.583764882336,rth,Sr+2,132,divalent,448063460,-5646.79796772346,-5647.151768453778,-30.100213482909,-30.519775878949,573211166,-5677.67158105954,0.0,0.0,-1800.0000783692758,-698.4389236537677,1101.561154715508,-0.0964262552049009
463254452,-5677.584258471268,d6r,Sr+2,132,divalent,448062844,-5646.784188755737,-5647.138538759869,-30.100213482909,-30.519775878949,573240304,-5677.678108408862,0.0,0.0,-1837.4726787208588,-735.9115240053505,1101.561154715508,-51.968547207317386
462145093,-15245.632288372,pau,Sr+2,132,divalent,448073457,-15214.9608647496,-15215.46502247559,-30.100213482909,-30.519775878949,573569472,-15246.014464851642,0.0,0.0,-1499.712335470203,-398.15118075469474,1101.5611547155083,-77.88939407710775
462277632,-11418.382577205644,wbc,Sr+2,132,divalent,449301534,-11387.690054510527,-11388.131401025012,-30.100213482909,-30.519775878949,573223290,-11418.68145704637,17.745863645082725,0.0,-1555.1079551093776,-453.5468003938695,1101.561154715508,-79.50051994769011
463867383,-7591.2248556529,d8r,Sr+2,132,divalent,448063971,-7560.40278072038,-7560.795758535838,-30.100213482909,-30.519775878949,574825783,-7591.39096021746,0.0,0.0,-1895.2473803261887,-793.6862256106804,1101.5611547155083,-198.0304600025977
461441007,-11418.408788716426,sod,Sr+2,132,divalent,448065387,-11387.688461015312,-11388.147374369104,-30.100213482909,-30.519775878949,573543634,-11418.69854672352,59.41719208119994,0.0,-1628.11000392008,-526.548849204572,1101.561154715508,-82.43145261535241
462352977,-3763.771726230659,d4r,Sr+2,132,divalent,448062379,-3733.134114026999,-3733.467040234939,-30.100213482909,-30.519775878949,573222475,-3763.827839700931,0.0,0.0,-1410.940448811382,-309.37929409587395,1101.561154715508,417.39260401407074
575117494,-1293.966259801633,K222,Ba+2,149,divalent,574985383,-1268.532139070572,-1268.532139070572,-24.918320848578,-25.308147011253,575117494,-1293.966259801633,0.0,0.0,-1354.2326946192466,-330.74402655080183,1023.4886680684448,-330.74402655080183
463250375,-5672.347108961118,rth,Ba+2,149,divalent,448063460,-5646.79796772346,-5647.151768453778,-24.918320848578,-25.308147011253,573503213,-5672.439674436971,0.0,0.0,-1656.2190576929652,-632.7303896245204,1023.4886680684448,53.14282321969611
463251238,-5672.363243443223,d6r,Ba+2,149,divalent,448062844,-5646.784188755737,-5647.138538759869,-24.918320848578,-25.308147011253,573211329,-5672.455732698169,0.0,0.0,-1734.7568261995946,-711.2681581311498,1023.4886680684448,-23.752708771495374
463252847,-15240.454432522754,pau,Ba+2,149,divalent,448073457,-15214.9608647496,-15215.46502247559,-24.918320848578,-25.308147011253,573488104,-15240.812336553809,30.5764969564497,0.0,-1510.3109155228883,-486.82224745444375,1023.4886680684448,-102.83314214765092
463249458,-11413.180171689108,wbc,Ba+2,149,divalent,449303980,-11387.677478143152,-11388.125711424103,-24.918320848578,-25.308147011253,574603829,-11413.473409009228,92.61321376799074,0.0,-1534.2706338391188,-510.7819657706739,1023.4886680684448,-103.84003960968631
482133071,-7585.976753600796,d8r,Ba+2,149,divalent,448063971,-7560.40278072038,-7560.795758535838,-24.918320848578,-25.308147011253,574824403,-7586.185572104738,0.0,0.0,-1721.4145407199435,-697.9258726514987,1023.4886680684448,-214.4155634345328
